,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log_pvalue,log_padj
Klf3,73.62461664794743,0.664351558399273,0.1690963053896215,3.9288354459815915,8.535822143035614e-05,0.004522905251993301,9.368653787289583,5.39860073675066
Rasgef1b,118.26327431125925,-0.9227703301497938,0.20689168998471352,-4.460161402412895,8.189795256969554e-06,0.0006788610484291991,11.712621659560796,7.295094092836165
Iscu,94.84878625541782,-0.5383078540589674,0.12596640779482157,-4.273423871352923,1.9249402636774732e-05,0.0014114935734667324,10.858030529567836,6.56310686326251
Dynll1,146.76967864347458,0.5727141812837827,0.12405584082421964,4.616583769685519,3.901085934374959e-06,0.00036696507238861975,12.45425559887568,7.910243885041929
Ddx54,42.35511199450972,-0.6200989100666198,0.19889568213321265,-3.11770926053237,0.001822625051679041,0.03984077528108859,6.307477480973643,3.2228643865883986
Orai1,46.04203924871376,0.7213937285610549,0.20089943585784797,3.5908200811051416,0.00032963913661863937,0.012659352531060776,8.017512027236945,4.369359006460144
Rilpl2,51.47982304907067,-1.3953887498279058,0.21922398667099122,-6.365128063846813,1.9512686084719647e-10,7.102617734837951e-08,22.357371200445556,16.460217332808813
Ubc,382.04482452994114,-0.5872636326695138,0.09856231180781512,-5.958298074568386,2.5487831950096625e-09,6.668254033944029e-07,19.787649770089516,14.220737589323353
Hsph1,63.01399030489861,2.3164430855036744,0.40757063795488374,5.683537698218816,1.3193662481522506e-08,2.873020448695273e-06,18.143529237682387,12.760146660451458
Trim24,46.060111090139735,-0.7532619068920581,0.23539228135243762,-3.2000280661890006,0.0013741420573009327,0.03380494457126253,6.589925700933206,3.3871481981017624
Gimap6,28.45978326815824,-2.4828080838574116,0.4403164947275788,-5.638689700674307,1.7134898531653237e-08,3.498862695292705e-06,17.88214860333838,12.563072586476798
Gimap1,13.451792625437967,-1.6314260731945602,0.3496774383827097,-4.665517114115385,3.0784187123129746e-06,0.0002996804820870259,12.691094497909502,8.112793710597119
Tmem176b,239.52368974291716,0.6115613554560959,0.1757302033836239,3.4801152202677454,0.0005011981859510128,0.016530019838266678,7.598508954360298,4.102577167012799
Tmem176a,207.37689283632292,0.717933625046384,0.2024711723516728,3.545856018452854,0.0003913399655403783,0.014037202724117225,7.84593389866978,4.266044136408622
Hpgds,24.345794968762178,-0.888688686114439,0.2750011110003428,-3.2315821666383417,0.0012310692437689592,0.030950485612113294,6.699872183346392,3.475366589760945
Igkc,167.56075916825387,-1.1687329305532412,0.3452538645652162,-3.385140763087607,0.0007114176203353269,0.02119568796244611,7.248250930222318,3.8539575159901736
Cd8b1,18.01813238553641,-2.151840917338834,0.6706101736618802,-3.2087806028779196,0.0013329916631362468,0.03321370893981149,6.620329492016491,3.4047925684138045
Clec4a3,41.49389731531451,2.166438571366336,0.2995117834712782,7.233233184543764,4.716285587390267e-13,2.632316195842088e-10,28.38258467095836,22.05798678849468
Clec4b1,26.6961565191371,0.9934359920510702,0.27727258750878603,3.5828857117712403,0.00033981931029809174,0.012931669390071019,7.987096521918245,4.348075984704716
Plekha5,55.09914135184359,0.9229017998402959,0.2742938371698707,3.364646502315474,0.0007664178364212128,0.022513860093046997,7.173783058586247,3.7936241552890073
Selenow,172.09945118423286,-0.610097599691917,0.1209836541297693,-5.042810155473689,4.58744333978544e-07,5.819102369800561e-05,14.594772788654355,9.75177944711489
Clptm1,50.331714668460194,0.6239376374638106,0.19630980174868878,3.178331555051749,0.0014812525916013258,0.03493252590672197,6.514867203478093,3.354336909387618
Bcl3,31.339007880798032,0.9392661826182421,0.23728824209819382,3.9583342786515234,7.547427991854555e-05,0.004129873669791263,9.491718623078752,5.489508460905297
Cd79a,40.23187405004149,-1.5788557648113963,0.36560247601463064,-4.318504026619923,1.5709035664939563e-05,0.0011956004235170365,11.061274491098322,6.729106773324848
Pafah1b3,62.255445886889575,-0.690214111875388,0.20340244521616627,-3.3933422537858964,0.0006904531262974951,0.02071854327370118,7.278162471130217,3.876726169385692
B9d2,33.18717491618362,-0.6730737781530853,0.21275076939780835,-3.163672592386963,0.0015579194759355868,0.036129922029176545,6.464404017121128,3.320633891888118
