gene,pvalue,baseMean,log2FoldChange,lfcSE,stat,padj,log_pvalue,log_padj
Hbb-bs,7.280652878513068e-07,47.32524129999822,-5.273544821110994,1.138982935904906,-4.84042716359907,0.00011691778872516529,14.132875111656404,9.05403953061676
Uba52,1.9644320762030275e-17,128.2358616598828,1.5880559417200841,0.1881884482944048,8.478751113925025,1.4511259746911766e-14,38.468743397095814,31.863851512561123
Csrp1,0.0002100838463317028,36.71480585204404,1.284350131372624,0.3479415415273694,3.701702605436014,0.0156756502308312,8.468003838686958,4.1556467112928095
Ptgs2,0.0005006880663902066,8.902348355848535,5.715625719695694,1.678641008371386,3.46029178749045,0.030821522886870466,7.5995272727645995,3.479542038017908
Ldlr,1.328044413673283e-06,63.05936352234361,1.559277268455986,0.3256888210531972,4.818929549811112,0.00019620528167609084,13.531803063438185,8.536349091337593
Ctss,1.8130823839345831e-06,467.8883046326012,-0.5594075160374768,0.12112714273419818,-4.722940823335824,0.00025756229942547625,13.220482186554026,8.264248927606715
Arhgap6,0.00010279786220428485,189.5104895959934,1.152204437876412,0.30388335181785464,3.8564098103844273,0.008629179637534685,9.182746000837605,4.752605837787074
Gm6377,3.1533306573471105e-09,38.89536606244388,1.986070358331062,0.3480463673362364,5.8638730371916115,7.27926673931972e-07,19.574806591172518,14.133065516443507
Tpm3-rs7,2.733972444869544e-07,19.27692202783212,-4.320122020326426,0.8405066469208009,-5.140623797441519,4.642725160977315e-05,15.112339991394425,9.977623951960325
Mcub,0.00016821299325692318,25.680567403684098,-1.700219581809418,0.4548726412351584,-3.7548252677708915,0.012876573898330483,8.690279564556866,4.352345595373068
Aif1,6.32206078413603e-05,167.9117280335868,0.8376078149427888,0.225282673502102,3.919004912170686,0.005730191780664154,9.668880236522607,5.1620062792406864
Immp2l,2.5674513401133037e-05,438.2774349710684,0.9910916307612784,0.24326165011857942,4.165837576579177,0.0028955363434224387,10.570011754573336,5.844584919685805
Stk17b,3.4489773544626736e-10,172.7869530849646,1.097145230990734,0.1804228373668586,6.22001743386084,9.799075275929143e-08,21.78777316183431,16.138392722327055
Etv3,0.00023863383670139293,83.53499490001704,1.3692828494596918,0.3855809183600086,3.6357172983047277,0.017367370952839304,8.340580244853815,4.053162065806919
Aff4,0.0006606309861602279,78.49800012765117,0.8570776823469372,0.253767239585313,3.3971640145531494,0.03919743851217352,7.322315140021919,3.2391438783979436
Rpl35,9.595116277070952e-12,756.5058118954072,0.6575108652430913,0.09775729788309642,6.782984631362041,3.93772910770684e-09,25.3697668680357,19.352661648403128
Cd86,1.6597524898640065e-08,153.46918056844478,1.4621924817475258,0.2654610608569294,5.598544694983341,3.3136734169257882e-06,17.914012255192358,12.617453190307844
Rps21,1.2271097821510439e-09,1684.2636656150382,0.5293830142052465,0.08762132143842094,6.066088362427651,3.07276608838975e-07,20.518604203214277,14.995517489031313
Tox4,0.0007607561254229422,63.926112728555985,0.8228619172771363,0.2448029867031552,3.365039172295308,0.043903949207025575,7.181197717398456,3.1257510037893357
Tgfbi,0.000754982412577231,109.3714827887582,-0.8863702056772691,0.2685954524758768,-3.348464243481672,0.043903949207025575,7.188816103586267,3.1257510037893357
Rgs1,1.050935098844353e-18,184.02973117336862,2.965748997629888,0.3406808685834446,8.790682146163727,9.133244206074395e-16,41.396851335717905,34.62944052168544
Rgs2,3.340808379608208e-11,390.8761089092376,1.062916424421066,0.169873746347161,6.49233916281635,1.2339275750082918e-08,24.12222321540757,18.21047851143282
Klf6,6.333384314396682e-12,195.047366693652,1.994563795602928,0.3020360045708474,6.778684129863256,2.6734119960256168e-09,25.785186375821034,19.739910279221764
Rsrp1,5.70868699078596e-13,207.11587655013258,-1.015038740307396,0.140972971135804,-7.2049301261935685,2.720649729092638e-10,28.19161716077128,22.024980207167744
Gm10076,1.3558843964893153e-51,255.78577215284116,2.110504169977688,0.1415284666705626,15.04864010304876,2.0031836073733142e-47,117.12738581013886,107.52676165205018
1700016P03Rik,0.0001129956363077802,7.200988738743705,4.759626539125712,1.236663960920858,3.856992495277982,0.009326243188889076,9.088161356742887,4.674923004494959
