"","wt_naive_0","wt_naive_1","wt_naive_2","wt_naive_3","ko_naive_0","ko_naive_1","ko_naive_2","ko_naive_3","wt_pathogenic_0","wt_pathogenic_1","wt_pathogenic_2","wt_pathogenic_3","ko_pathogenic_0","ko_pathogenic_1","ko_pathogenic_2","ko_pathogenic_3"
"Nars2",4.27214392945776,23.0635598614232,16.4569860733053,6.89261487129803,5.79070856876222,28.131470289408,8.29248663424017,4.18261079009073,18.9863179829196,17.8968120883964,18.7687980728059,11.4322141222547,14.1965670514272,15.3603612323024,19.6692362671154,10.920748544114
"Gab2",215.743268437617,224.485315984519,232.043503633605,244.68782793108,231.628342750489,198.795723378483,262.042577641989,215.404455689673,231.633079391619,212.205057619557,241.138253500615,215.635211202529,216.328640783653,177.645916860541,235.328362481559,286.509050039698
"Usp35",8.54428785891552,16.9132772317103,4.9370958219916,6.89261487129803,9.65118094793703,9.37715676313599,11.6094812879362,6.27391618513609,10.4424748906058,17.4706975148632,13.0565551810823,9.85535700194373,10.8164320391827,8.01410151250559,8.42967268590659,10.920748544114
"Kctd21",0,4.61271197228463,3.29139721466106,0,5.79070856876222,1.8754313526272,6.63398930739214,2.09130539504536,1.42397384871897,2.98280201473273,4.48819084349706,5.12478564101074,2.70410800979567,1.3356835854176,6.32225451442994,2.56958789273271
"Alg8",12.8164317883733,9.22542394456926,4.9370958219916,8.61576858912253,9.65118094793703,11.2525881157632,21.5604652490244,8.36522158018146,11.3917907897518,27.2713327061279,17.9527633739882,15.76857120311,22.3088910808142,11.3533104760496,14.049454476511,12.2055424904804
"Ndufc2",121.756101989546,76.8785328714105,120.135998335129,124.067067683365,111.95369899607,97.5224303366143,104.485331591426,106.656575147314,112.493934048799,100.563039353846,106.900545545112,120.235355423714,102.080077369786,98.1727435281935,113.800581259739,98.2867368970263
"Kctd14",23.4967916120177,10.7629946019975,16.4569860733053,12.0620760247715,15.4418895166992,11.2525881157632,14.9264759416323,29.2782755306351,10.4424748906058,8.09617689713171,17.1367286751706,25.6239282050537,22.9849180832632,13.356835854176,26.6939635053709,13.4903364368467
"Ints4",21.3607196472888,24.6011305188514,21.3940818952969,17.2315371782451,30.8837790333985,20.6297448788992,33.1699465369607,10.4565269752268,22.7835815795035,18.7490412354629,25.7050930127559,26.8065710452869,27.0410800979567,26.0458299156432,23.1815998862431,14.1327334100299
"Aamdc",10.6803598236444,13.8381359168539,3.29139721466106,20.6778446138941,17.3721257062867,7.50172541050879,24.8774599027205,14.6391377653176,11.3917907897518,11.0789789118644,10.6084510846294,7.88428560155498,12.8445130465294,4.00705075625279,9.83461813355769,8.9935576245645
"Rsf1",87.578950553884,92.2542394456926,95.4505192251709,105.112376787295,84.9303923418459,76.8926854577151,104.485331591426,123.387018307677,106.32338070435,113.772591133377,120.365118075603,107.226284181148,91.9396723330526,113.533104760496,106.775854021483,116.273852146155
