"","wt_naive_0","wt_naive_1","wt_naive_2","wt_naive_3","ko_naive_0","ko_naive_1","ko_naive_2","ko_naive_3","wt_pathogenic_0","wt_pathogenic_1","wt_pathogenic_2","wt_pathogenic_3","ko_pathogenic_0","ko_pathogenic_1","ko_pathogenic_2","ko_pathogenic_3"
"Xlr",2,3,1,3,3,1,2,0,8,4,3,14,9,9,7,5
"3830403N18Rik",2,4,2,0,0,5,2,2,0,1,1,0,5,0,2,3
"Zfp449",0,3,0,0,2,0,0,1,1,1,7,0,1,0,2,2
"Smim10l2a",0,0,0,0,0,3,0,2,2,1,0,0,1,0,0,1
"Ints6l",11,29,11,21,24,22,15,14,45,66,60,92,47,38,35,37
"Mmgt1",3,4,3,2,2,1,3,4,10,11,8,12,9,8,10,4
"Slc9a6",4,8,2,5,4,3,6,3,26,29,32,19,16,20,5,23
"Map7d3",0,2,1,1,1,3,2,1,3,3,4,0,0,0,1,3
"Adgrg4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Htatsf1",10,10,14,12,16,9,8,7,41,64,37,52,35,24,30,25
"Gm14718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cd40lg",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"Arhgef6",56,88,71,68,94,78,74,69,273,285,262,280,151,184,149,173
"Rbmx",11,15,8,11,7,13,13,4,46,46,48,56,35,38,28,22
"Fgf13",1,2,2,3,6,0,8,0,18,4,10,19,0,15,10,8
"F9",0,1,0,0,3,0,1,1,0,2,2,0,0,3,1,1
"Mcf2",0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,0
"Atp11c",20,36,52,36,37,36,47,18,143,172,184,199,116,130,80,110
"Gm14661",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"Slitrk4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fmr1",19,20,18,18,20,29,17,12,55,79,96,85,72,77,63,90
"Fmr1nb",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Gm14698",0,0,1,1,0,0,0,0,2,3,4,0,2,0,1,0
"Aff2",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6
"1700111N16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ids",10,16,17,15,7,7,17,14,55,73,56,65,34,51,47,40
"1110012L19Rik",2,4,2,7,3,6,4,7,15,16,15,15,12,4,6,11
"Tmem185a",6,4,3,7,5,4,5,2,15,17,15,19,13,9,14,10
"Mamld1",0,0,0,0,2,0,2,0,3,2,3,2,0,1,2,2
"Mtm1",10,26,16,21,16,19,20,11,83,73,92,74,40,69,50,67
"Mtmr1",16,29,33,22,26,33,22,14,71,80,89,97,64,57,50,86
"Cd99l2",1,1,2,1,3,2,5,2,2,11,12,9,8,7,11,3
"Gm16189",0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0
"Hmgb3",1,3,3,3,3,1,1,0,2,4,5,6,4,5,3,0
"Vma21",13,16,15,16,19,24,13,14,55,73,66,67,31,35,49,44
"Gm1141",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"Gabre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gabra3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Cetn2",19,17,21,15,14,16,22,19,59,53,48,87,54,48,29,45
"Nsdhl",5,6,8,6,4,7,7,8,27,24,19,33,13,21,15,9
"Zfp185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xlr4a",0,3,0,1,1,0,1,0,8,7,6,12,5,8,5,8
"Xlr3a",0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0
"Xlr5a",1,0,0,0,0,1,1,0,2,2,2,3,0,0,0,1
"Xlr3b",0,0,1,0,1,1,0,1,0,7,11,8,1,3,2,1
"Xlr4b",2,1,3,0,1,3,4,1,14,10,20,12,5,7,9,12
"F8a",1,2,3,1,2,5,6,1,11,10,13,6,5,2,5,10
"Xlr4c",0,1,1,0,1,0,0,0,3,5,0,2,1,1,0,1
"Zfp275",0,2,1,1,0,5,1,3,6,7,9,8,4,4,5,4
"Haus7",4,4,1,5,7,1,5,1,18,13,16,17,8,9,10,10
"Bgn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dusp9",2,1,1,0,1,6,1,2,2,4,4,4,5,3,2,0
"Pnck",0,2,0,1,3,5,0,2,4,11,2,9,4,0,0,3
"Slc6a8",0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0
"Bcap31",26,15,24,25,32,28,32,30,112,140,115,118,67,71,80,63
"Abcd1",13,30,25,23,20,23,18,18,92,110,87,104,53,64,61,56
"Plxnb3",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Srpk3",2,1,3,5,0,0,1,1,0,1,2,4,2,1,1,2
"Idh3g",21,17,21,20,20,21,25,31,70,72,94,99,72,60,57,68
"Ssr4",101,98,102,118,118,143,126,102,349,355,371,426,261,282,267,285
"Pdzd4",22,23,24,34,17,39,27,27,67,58,50,64,21,33,43,28
"Gm14817",0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0
"L1cam",12,11,9,7,5,8,15,9,17,31,32,23,36,29,34,16
"Arhgap4",12,19,18,23,15,25,20,21,57,60,86,81,46,49,32,23
"Avpr2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Naa10",14,11,8,15,12,8,13,14,35,56,62,46,35,25,28,22
"Renbp",8,10,8,2,2,2,8,5,28,17,25,23,20,20,9,21
"Hcfc1",16,13,7,13,9,21,10,12,60,69,59,83,54,37,27,45
"Irak1",25,35,33,36,27,24,30,29,146,124,143,166,84,90,82,98
"Mecp2",25,34,38,38,38,29,42,31,145,163,143,148,57,76,75,93
"Opn1mw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tktl1",0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,2
"Flna",52,49,33,40,30,30,46,37,192,212,279,286,132,173,138,145
"Emd",16,21,25,18,17,30,21,15,75,69,70,84,46,45,59,58
"Rpl10",786,913,892,893,800,845,1003,916,2986,3090,3077,3296,2340,2523,2396,2541
"Dnase1l1",10,9,6,3,17,7,13,5,30,39,40,29,9,30,18,20
"Taz",14,15,20,13,16,21,19,18,63,71,82,60,47,30,37,53
"Atp6ap1",19,18,23,19,17,24,24,29,102,99,121,110,55,56,39,54
"Gdi1",12,23,7,15,22,11,19,15,71,71,66,78,40,32,39,41
"Fam50a",13,16,10,17,11,18,22,9,51,69,80,68,41,36,48,37
"Plxna3",0,0,1,1,0,1,1,0,2,0,0,0,1,1,0,0
"Lage3",18,25,12,19,21,17,18,13,51,59,57,72,36,38,33,44
"Ubl4a",5,9,8,16,9,7,16,9,31,34,34,39,33,24,20,22
"Slc10a3",4,2,5,2,5,4,5,0,6,11,11,9,3,11,8,5
"Fam3a",5,10,4,6,5,8,4,6,14,18,11,20,13,11,12,14
"Ikbkg",4,10,3,6,6,11,6,7,25,29,31,35,21,13,15,19
"G6pdx",12,5,8,4,12,9,10,7,28,37,49,60,34,30,25,27
"Gab3",21,24,26,29,17,48,21,27,87,62,74,51,33,48,53,48
"Dkc1",15,6,6,13,10,12,11,11,44,52,58,67,33,31,24,34
"Mpp1",7,9,13,5,8,8,7,8,16,33,29,40,21,17,11,20
"F8",0,1,2,0,1,0,2,0,0,0,1,1,0,0,0,2
"Fundc2",12,19,17,10,10,12,14,17,51,50,55,68,44,49,56,44
"Cmc4",4,4,3,4,2,4,6,3,14,7,18,7,11,11,11,9
"Mtcp1",0,3,1,3,1,7,2,0,3,3,10,8,3,2,2,4
"Brcc3",13,9,13,19,10,8,8,13,55,62,76,81,36,44,44,52
"Vbp1",17,21,17,21,16,27,22,17,72,53,79,81,30,35,52,54
"Rab39b",0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1
"Gm15063",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"4933407K13Rik",1,2,1,0,2,0,1,4,4,11,4,11,2,2,5,7
"Pls3",5,5,7,4,6,4,4,5,14,20,13,12,4,6,7,4
"Cldn34d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tbl1x",42,77,63,63,45,36,58,39,255,262,277,250,153,148,138,205
"Prkx",11,18,13,16,11,14,15,9,44,78,58,68,42,63,52,66
"Prrg1",0,0,0,0,0,4,3,2,5,11,9,9,6,2,3,6
"Cfap47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Mageb16",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Dmd",0,0,0,0,0,0,0,0,2,2,4,2,1,2,1,0
"Tab3",10,7,5,5,10,2,4,6,18,27,32,29,18,27,18,21
"Gk",2,1,6,3,9,1,11,1,23,22,18,29,6,9,1,11
"Gm14764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Gm14762",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"5430427O19Rik",11,15,10,12,8,20,22,14,53,71,49,52,34,35,56,56
"Il1rapl1",1,2,1,2,1,2,2,1,4,6,11,5,7,2,4,7
"Mageb18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arx",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pola1",24,32,60,33,19,15,24,29,127,133,155,166,67,72,95,92
"Pcyt1b",3,6,1,1,0,0,1,1,6,8,8,4,1,4,2,2
"Pdk3",14,25,14,13,16,14,12,10,56,88,60,62,44,41,39,62
"Gm14798",2,2,1,2,3,3,4,3,12,13,14,11,2,8,4,3
"Zfx",23,33,30,26,39,38,30,24,131,159,160,169,79,90,87,89
"Eif2s3x",15,17,17,10,10,10,15,19,81,88,82,92,33,69,64,40
"Klhl15",5,11,5,5,16,5,8,8,34,34,44,37,24,28,21,23
"Fam90a1b-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apoo",3,4,6,5,3,6,1,3,21,14,22,16,4,4,5,17
"Gm14827",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Maged1",4,4,4,5,3,3,3,6,13,6,6,4,3,3,7,4
"Gspt2",0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0
"Zxdb",0,7,5,5,7,6,6,3,16,15,14,15,18,16,9,11
"Gm39526",0,0,0,0,1,1,0,0,3,3,3,1,0,1,2,3
"Spin4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Arhgef9",6,2,2,0,1,1,7,2,11,4,6,4,2,6,3,3
"Amer1",2,1,2,2,3,3,7,6,12,11,7,9,4,3,3,5
"Zc4h2",1,0,0,0,1,0,2,2,3,8,1,3,0,1,0,0
"Zc3h12b",12,13,12,18,14,33,9,16,41,26,12,13,9,18,26,16
"Las1l",5,7,12,10,13,11,17,8,46,37,27,59,28,34,30,28
"Msn",108,114,134,127,112,96,115,99,450,533,611,614,312,282,295,288
"F630028O10Rik",14,19,17,10,16,19,17,8,74,100,104,116,19,18,16,37
"Vsig4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hsf3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heph",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"Eda2r",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ar",1,0,0,0,1,0,2,0,1,1,5,0,2,2,0,0
"Ophn1",1,3,6,1,5,9,0,5,10,5,17,1,6,11,7,8
"Yipf6",10,15,8,8,2,9,8,7,26,25,23,28,24,10,13,19
"Stard8",1,0,3,1,4,5,4,2,15,24,26,13,10,24,10,9
"Efnb1",0,2,3,2,2,3,2,1,11,5,6,10,2,3,7,8
"Pja1",6,2,7,4,3,2,3,6,15,16,17,25,9,4,14,9
"Eda",4,11,17,12,5,0,0,37,54,22,56,31,20,11,18,39
"Awat2",0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0
"Igbp1",26,32,25,26,30,23,26,31,86,96,109,120,74,75,68,79
"Dgat2l6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arr3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pdzd11",5,11,5,5,8,3,13,10,26,28,29,31,20,22,14,15
"Kif4",1,1,0,4,0,1,0,3,10,17,12,21,10,11,13,0
"Gdpd2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dlg3",1,0,2,0,0,2,2,0,2,0,6,5,1,1,1,1
"Tex11",0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,1
"Slc7a3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Snx12",10,15,20,22,24,14,15,8,55,52,63,59,38,38,28,34
"Foxo4",0,1,2,2,1,1,3,1,10,7,11,9,3,6,10,7
"Gm614",0,2,3,2,0,1,1,0,3,2,3,5,0,0,2,1
"Il2rg",37,54,32,47,39,38,58,27,198,147,159,155,109,63,89,72
"Med12",6,14,10,8,3,5,7,8,37,49,70,53,30,32,22,29
"Nlgn3",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Zmym3",2,6,4,6,8,8,5,6,17,18,17,21,14,12,17,7
"Nono",49,51,51,63,53,44,63,37,192,204,231,250,114,164,132,155
"Itgb1bp2",0,1,2,1,1,0,2,0,1,3,1,5,0,0,0,2
"Taf1",17,17,9,18,16,12,16,13,72,72,85,85,42,45,47,45
"Ogt",54,62,71,72,62,73,89,56,243,280,299,285,166,155,161,146
"Cxcr3",3,2,5,6,9,7,5,6,25,10,20,17,7,6,13,15
"Nhsl2",8,4,9,9,4,5,4,9,31,40,50,46,24,40,45,34
"Rtl5",3,8,5,3,2,5,7,4,19,30,34,41,25,21,16,20
"Pin4",18,37,21,23,18,29,32,26,98,105,123,108,67,90,54,71
"Ercc6l",0,1,4,0,1,1,2,1,17,14,12,11,6,8,14,8
"Rps4x",1011,1133,1247,1218,998,1004,1242,982,3820,4008,4282,4480,2922,3053,2825,2999
"Gm14858",0,1,0,0,2,2,1,0,5,2,5,5,2,4,5,3
"Hdac8",26,35,43,63,44,35,61,27,129,153,168,191,111,96,67,96
"Phka1",3,6,11,7,8,10,9,14,50,40,41,46,16,18,15,22
"Nap1l2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Chic1",1,1,5,2,1,0,1,0,6,0,10,6,2,3,1,3
"Gm26952",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tsx",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tsix",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jpx",10,17,9,10,9,7,12,10,27,29,26,32,15,10,15,16
"Ftx",25,17,20,19,22,26,14,20,42,72,50,71,21,36,14,24
"Slc16a2",1,0,0,0,0,0,0,0,0,6,1,1,2,0,1,2
"Rlim",38,51,42,57,42,38,55,37,156,113,167,149,169,145,170,163
"Nexmif",0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Abcb7",31,32,35,35,20,20,31,28,107,138,160,147,79,83,70,80
"Uprt",0,2,2,3,1,1,3,1,4,16,16,11,4,5,4,2
"Zdhhc15",3,0,4,6,2,4,2,5,21,11,6,5,12,13,11,19
