,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log_pvalue,log_padj
Trf,59.043211395191996,0.664202819107174,0.17006063585427017,3.905682321900457,9.395988347770155e-05,0.0032887449203530743,9.272642638300963,5.717249270163431
Slc25a20,19.491154104252,0.9323143705323877,0.28863188864099804,3.2301156151599226,0.0012374016874295147,0.02695484994067269,6.694741511178712,3.6135920371252497
Scap,31.93992114066057,-0.596560382011251,0.17851571464880295,-3.3417807680678115,0.000832427800713111,0.019976540188482477,7.091164065740718,3.913196684495917
Stt3b,68.228603738354,0.7500921633045319,0.14738331338215938,5.0893967986699495,3.5920428102545615e-07,2.4585301293618058e-05,14.839374582367071,10.613361801994744
Ulbp1,8.001015124170051,-1.2177715940590448,0.4035767850710593,-3.0174470859235054,0.0025491354045888166,0.0472529635014084,5.972001034328624,3.0522399074026505
Zc3h12d,56.49632895537657,-0.5687358705000086,0.16059131075904076,-3.5415108564209206,0.000397842486331863,0.011101345689999528,7.829454393999944,4.500688944678725
Tnfaip3,50.03790691198943,1.2611734045724385,0.2168456485556269,5.815995907563313,6.027394085106873e-09,5.446786514252437e-07,18.926951077971722,14.423069846595936
Ranbp2,109.05338280048602,0.5455408486111128,0.10683697574096358,5.106292506199619,3.2854099796523864e-07,2.2620438830142357e-05,14.92860420326191,10.696656687369769
Ddit4,17.966615031483236,-1.0784915195889853,0.2796789565133958,-3.8561768573293738,0.00011517417474960695,0.003916590321170949,9.069065012354793,5.542533819717051
Srgn,598.4052833190428,1.0688632467150072,0.09546950351357045,11.195860535328691,4.2723371384522836e-29,1.8303008770547246e-26,65.32280668010627,59.2627320508152
Egr2,6.434117736380279,3.1718217578565713,0.5744723349874061,5.521278510175961,3.3654184737538226e-08,2.684675550752446e-06,17.207128427888325,12.827950675013497
Ggt5,21.412390857576295,-0.7008572969427201,0.19992387978219053,-3.505620727780381,0.00045554385160509995,0.012311391896065867,7.69401857453669,4.397230274823086
Sbno2,103.15616663780175,-0.5059523776912075,0.1041714496642788,-4.856919811731318,1.1922584833567365e-06,7.237458649241698e-05,13.639661164375706,9.533655335491002
Cdk17,77.20623702871907,-0.5824530727101737,0.1458376613686849,-3.993845397984703,6.501026154371585e-05,0.002514962191559067,9.640965430625458,5.985497508720743
Elk3,88.31107866118936,-0.6070137426926103,0.1946773518478858,-3.1180501323385066,0.0018205183400537648,0.03581281571326853,6.308634016214546,3.3294494688177707
Btg1,429.764730185336,1.2056159725098343,0.08369884043103074,14.404213562591496,4.868277100211308e-47,9.3852268696907e-44,106.63875927441062,99.07460724834327
Tbc1d15,55.429184577558665,0.7882789834894621,0.17406796043062758,4.528570229347979,5.9384144174145e-06,0.0003094127908388897,12.034068393317902,8.08083427989478
Tmem19,25.270333006313336,-0.7497287225579103,0.2278256043903888,-3.290800981584223,0.0009990256504846618,0.02292803511737318,6.908730103484525,3.775394876260492
Rap1b,268.57447744475246,0.8111599076728474,0.08348610876903101,9.71610630358838,2.574380321710699e-22,8.27162699478546e-20,49.711263192477425,43.93887063563813
Plek,293.80014402094196,1.3120649855497415,0.11095122567496334,11.825601543091516,2.878333990282833e-32,1.4954934712091227e-29,72.6255113246394,66.37251146337312
Rel,335.93510012777733,1.389962532012146,0.09292184656846067,14.958404114236835,1.3727868284514198e-50,3.1758050489395147e-47,114.81241179465627,107.06593821179497
Hba-a1,17.749052631990363,-4.77637966246022,0.5765623008842118,-8.284238589889071,1.1886709800247775e-16,2.4552423617761786e-14,36.66852562840198,31.33796582384173
Hba-a2,15.81771426135876,-4.59864730203098,0.6697044468254533,-6.866681748687174,6.571244168639755e-12,9.501197662332007e-10,25.74831793018244,20.77443306956092
Fbxw11,117.12850518630142,1.0245354123095423,0.15287540789895462,6.701767317518622,2.059137417322775e-11,2.8021226477850046e-09,24.606148857279635,19.69288861847455
Sqstm1,97.95390982313099,0.8568111915803486,0.20751541700361714,4.1289037891840765,3.6449687371107166e-05,0.0015165954454014266,10.219577676470747,6.491287294865982
Ppp2ca,124.83281716304688,0.8567886471147113,0.10267598460407747,8.344586617976162,7.146341243342709e-17,1.530772762254539e-14,37.177346069381066,31.810418620649937
Mfap3,35.638092091461104,-0.5737156280839883,0.18529409116434256,-3.0962435147224623,0.0019598933458210414,0.03822948791081279,6.23486522261771,3.2641481263200345
Nlrp3,32.59557428348505,1.215502824749035,0.2512420841102025,4.837974613424549,1.3116888986937636e-06,7.861298181964127e-05,13.54419501545779,9.450973709067275
Trim16,2.454516640767552,2.73309175911107,0.8058421441699687,3.3915969509465174,0.0006948657451007644,0.017394359904632777,7.271791903576582,4.051609268719394
Ndel1,54.28596304169774,1.0564739860882089,0.1743217780306004,6.060481931883207,1.3571429655796334e-09,1.452319688115522e-07,20.41788410749445,15.744933587911307
Per1,21.701349368485207,1.4022489685386579,0.21655716064944106,6.47519095805192,9.469210841977738e-11,1.1777458259049086e-08,23.080390451629366,18.257078449487224
Tmem88,2.759218877618709,6.278584467414765,1.8119773902992187,3.465045701468692,0.0005301413809236512,0.01400033185649286,7.542366830531566,4.26867424561261
Kdm6b,62.63245163353018,1.5492671925113526,0.18095589761520192,8.56157336085188,1.1133753734431005e-17,2.6830026967950714e-15,39.03655030271356,33.551839818326044
