,wt_naive_0,wt_naive_1,wt_naive_2,wt_naive_3,ko_naive_0,ko_naive_1,ko_naive_2,ko_naive_3,wt_pathogenic_0,wt_pathogenic_1,wt_pathogenic_2,wt_pathogenic_3,ko_pathogenic_0,ko_pathogenic_1,ko_pathogenic_2,ko_pathogenic_3
Mpst,2.0,7.0,1.0,6.0,3.0,5.0,8.0,11.0,25.0,18.0,16.0,14.0,12.0,7.0,10.0,17.0
Kctd17,5.0,1.0,1.0,2.0,6.0,2.0,2.0,1.0,13.0,6.0,10.0,4.0,6.0,4.0,3.0,2.0
Tmprss6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Il2rb,1.0,0.0,2.0,2.0,0.0,6.0,6.0,0.0,1.0,1.0,5.0,13.0,1.0,3.0,5.0,2.0
C1qtnf6,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
Sstr3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rac2,129.0,109.0,134.0,117.0,100.0,150.0,108.0,128.0,395.0,341.0,380.0,398.0,218.0,267.0,272.0,245.0
Gm36738,5.0,9.0,2.0,2.0,9.0,6.0,4.0,2.0,12.0,21.0,13.0,15.0,13.0,8.0,14.0,12.0
Cyth4,72.0,89.0,90.0,78.0,93.0,83.0,60.0,83.0,369.0,390.0,319.0,320.0,192.0,237.0,227.0,189.0
Elfn2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mfng,12.0,11.0,7.0,7.0,10.0,16.0,9.0,6.0,42.0,37.0,45.0,36.0,21.0,32.0,34.0,22.0
Card10,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,8.0,6.0,8.0,10.0,3.0,3.0,4.0,1.0
Cdc42ep1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lgals2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Gga1,22.0,9.0,17.0,12.0,15.0,16.0,13.0,11.0,67.0,67.0,46.0,66.0,53.0,32.0,49.0,43.0
Sh3bp1,27.0,40.0,41.0,37.0,45.0,49.0,45.0,39.0,219.0,245.0,250.0,272.0,173.0,185.0,137.0,163.0
1700027A07Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
Pdxp,1.0,4.0,1.0,2.0,5.0,1.0,3.0,0.0,11.0,6.0,8.0,11.0,4.0,4.0,5.0,5.0
Lgals1,105.0,146.0,124.0,113.0,177.0,260.0,178.0,166.0,417.0,332.0,485.0,385.0,282.0,326.0,258.0,305.0
Nol12,8.0,12.0,12.0,15.0,12.0,13.0,13.0,13.0,55.0,37.0,45.0,41.0,26.0,23.0,29.0,41.0
Triobp,18.0,3.0,14.0,12.0,15.0,15.0,11.0,11.0,38.0,34.0,45.0,32.0,32.0,18.0,25.0,29.0
Gm10865,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm17753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm49544,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
H1f0,11.0,14.0,25.0,3.0,18.0,20.0,14.0,8.0,46.0,31.0,41.0,41.0,37.0,33.0,41.0,30.0
Gcat,6.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,10.0,6.0,7.0,7.0,2.0,5.0,3.0,5.0
Galr3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm3924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ankrd54,1.0,7.0,2.0,5.0,9.0,7.0,8.0,5.0,15.0,28.0,22.0,16.0,14.0,14.0,12.0,13.0
Eif3l,21.0,37.0,30.0,34.0,30.0,25.0,20.0,19.0,114.0,113.0,137.0,127.0,64.0,76.0,69.0,85.0
Micall1,5.0,5.0,13.0,8.0,6.0,4.0,5.0,1.0,27.0,16.0,31.0,25.0,10.0,13.0,10.0,16.0
1700088E04Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
Polr2f,27.0,19.0,27.0,26.0,34.0,41.0,28.0,16.0,113.0,96.0,122.0,88.0,60.0,51.0,57.0,64.0
